,카페이름
782,대명11동 몽퍼센트
783,이천동 소요호
784,상중이동 커매진에스프레소
785,내당4동 프리지아
786,평리6동 바모스(VAMOS)
787,비산1동 청향커피숍
788,내당1동 두류동커피
789,대명2동 삼영커피숍
790,봉덕3동 네쥬
791,대명1동 벌컥커피 직영점
792,평리3동 카페이랑
793,봉덕2동 화다방
794,봉덕2동 안동찻집
795,내당3동 카페알로
796,상중이동 일신다방
797,비산7동 청구다방
798,대명2동 샌디
799,원대동 신신카페
800,대명4동 바리스타비 성당점
801,봉덕1동 컴포즈커피 대구봉덕점
802,대명6동 카페몬트
803,내당1동 메트로
804,대명1동 카페봄봄 안지랑점
805,내당3동 카페리즈
806,혁신동 카페큐브
807,대명4동 파스쿠찌 대구가톨릭대로DI점
808,고성동 카페쉼
809,대명1동 백금당
810,내당3동 그린커피숖
811,내당2동 조금남다른커피
812,비산1동 물례커피숍
813,대명10동 카페마마
814,평리3동 카페테리아
815,내당3동 지(G)블루브라운
816,평리6동 레프트뱅크 서구청점
817,대명11동 파스쿠찌 대구대명역점
818,평리5동 탱크
819,비산4동 분홍카페
820,이천동 조이앤제이
821,내당1동 다시태어나다
822,평리4동 카페앤브런치정원
823,내당1동 카페내당
824,대명3동 데그커피
825,비산4동 요요커피
826,평리2동 영주창고카페
827,내당4동 워크업커피
828,봉덕3동 휩
829,대명4동 카페잇 대구가톨릭대학교병원점
830,봉덕2동 휩
831,대명1동 카페유럽
832,대명6동 몽퍼센트
833,대명1동 이디야커피 대구드림병원점
834,내당4동 보스
835,원대동 억수
836,평리3동 위치커피
837,대명9동 오어앤
838,평리1동 이디야커피 대구서구청점
839,봉덕2동 예그리나
840,대명3동 다모임카페
841,대명10동 투썸플레이스 대구가톨릭대학교병원점
842,대명1동 지즈
843,대명1동 오어앤
844,비산6동 카고
845,대명1동 파스쿠찌 대구앞산정은점
846,비산6동 이디야 비산점
847,비산1동 별다방
848,안심4동 투썸플레이스 대구신서이노밸리점
849,봉덕2동 로코모티바101
850,대명11동 서울다방
851,고성동 발루토커피
852,대명5동 카페쉐어링 영남이공대점
853,평리1동 달콤하루
