사업장명,경도,위도,,
힐링커피,128.567666,35.951064,,
커피파리스,128.6040938,35.88012206,,
펀보드카페,128.6100648,35.88479702,,
대구칠곡타운점빽다방,128.5633037,35.94383351,,
그라찌에칠곡경북대학교병원점,128.5641509,35.95621084,,
스타벅스대구칠곡대로DT점,128.5478845,35.92685125,,
레드테이크아웃커피,128.6180916,35.90092445,,
스타벅스커피대구동천점,128.56043,35.94253479,,
커피나무앤쮸,128.5493105,35.93490058,,
갤러리커피,128.5635761,35.93182626,,
롯데푸드(주)롯데백화점대구점커피,128.5955651,35.87605699,,
커피숲,128.5507031,35.93486467,,
가까운숲,128.5958564,35.92454943,,
아르떼커피,128.5489174,35.93366154,,
투데이로스팅커피(동천점),128.5549073,35.94382328,,
이프로더치커피,128.5741888,35.94732072,,
커피타는남자,128.592599,35.88046753,,
커피이야기,128.5931732,35.88096838,,
빽다방대구칠곡점,128.5540041,35.95219898,,
봄봄대현점,128.610666,35.88007122,,
주비;두루향기롭다,128.6081087,35.89373197,,
컴포즈커피경북대점,128.6100591,35.89439836,,
다빈치커피,128.5578377,35.93216275,,
카페씨탐,128.5947139,35.87971053,,
캔버스 영진전문대점,128.6239792,35.89495253,,
마시그래이칠곡3지구점,128.5609059,35.94211435,,
힉스,128.5553029,35.93140668,,
커피숍바이송,128.5445728,35.9275394,,
예쁜도로시,128.558528,35.93518739,,
엔제리너스커피,128.5861693,35.88549241,,
커피주,128.549206,35.93866446,,
드롭탑대구병원점,128.5640852,35.95078659,,
카페파스쿠찌대구칠곡3지구점,128.5590912,35.94329887,,
해비치,128.6136484,35.88477946,,
엔젤리너스커피,128.5906529,35.89063892,,
루트커피,128.6110224,35.89436174,,
까페빈,128.5947946,35.88706368,,
폴인커피,128.5706882,35.94263851,,
정다방,128.5839691,35.90028594,,
이디아커피경북대점,128.6087398,35.89292971,,
시에로,128.5425684,35.9077438,,
봄봄,128.5901796,35.88944568,,
수야모,128.6194536,35.89367141,,
할리스커피관음점,128.5465069,35.93501487,,
설빙침산점,128.5860815,35.88574852,,
고메커피,128.5670318,35.94862236,,
커피유칠곡점,128.547442,35.91323231,,
블렌즈,128.6104653,35.89158379,,
어쓰커피,128.6113568,35.89490965,,
다빈치커피 카페나우,128.5897547,35.88507266,,
카페인헤븐,128.5498694,35.9336579,,
카페조안나칠곡점,128.5566992,35.94323666,,
매스커피경북대점,128.6090772,35.89261898,,
느티나무아래,128.6016289,35.87672514,,
이삭토스트&커피,128.5615447,35.94198763,,
공차 경북대점,128.6084276,35.89222785,,
안스커피(ahns coffee),128.6065434,35.88226836,,
카페코나,128.5958978,35.91981495,,
블라썸,128.6011101,35.92226925,,
카페 에녹(CAFE ENOCH),128.5989707,35.91989444,,
미스터브리즈커피,128.6008858,35.9208316,,
낙카페(NHAC-CAFE),128.6152138,35.89282125,,
까페지뉴,128.6038593,35.89241529,,
착한또띠아앤드커피,128.6051289,35.89684463,,
더블유컬렉션,128.6116955,35.90455069,,
카페마루,128.5606193,35.93214887,,
아이카페PC방복현점,128.6196072,35.89429761,,
킹피씨,128.6211427,35.89257618,,
기댈언덕,128.5451447,35.93680947,,
까페하라,128.6047185,35.91684427,,
모퉁이일곱번째이야기,128.6249847,35.89682031,,
바비랑커피,128.5449306,35.92167097,,
맘스카페,128.5559113,35.94482828,,
조립커피(jorip coffee),128.6115228,35.89475585,,
그카페,128.5697471,35.9418006,,
커피에반하다,128.611466,35.90056696,,
매스커피침산점,128.5875939,35.88546197,,
링넛카페,128.5961837,35.91991883,,
무인카페 쉼,128.5872786,35.89029563,,
롯데시네마프리미엄칠곡마체베트,128.5638801,35.9421771,,
카페(CAFE)로뎀나무,128.5491293,35.92170751,,
올리브나무카페,128.5857197,35.88530397,,
커피장인경대북문점,128.6113575,35.89504715,,
까사커피,128.6141376,35.89509956,,
소풍가는날,128.5455498,35.93992472,,
이디야커피 대구칠곡네거리점,128.5480147,35.93185225,,
딜리셔스'잇,128.5454856,35.92636229,,
어썸커피,128.5578196,35.94343434,,
희루프리미엄,128.6142,35.89556984,,
수야커피,128.5900708,35.89244098,,
킹콩커피,128.5606174,35.94343565,,
투썸플레이스(동천점),128.5606174,35.94343565,,
차칸커피,128.5617289,35.94296116,,
타임투커피,128.6235221,35.8921113,,
그녀의커피이야기,128.5656,35.9518709,,
더 카페,128.5490374,35.93290178,,
오솔길,128.6095696,35.8932575,,
주)삼십미리에스프레소,128.5955651,35.87605699,,
봄플라워카페,128.5149808,35.89601943,,
커피해윰,128.5523,35.93382925,,
읍내다방,128.5542173,35.94600441,,
커피수(Coffee Soo),128.5677253,35.94877938,,
커피명가신세계여성병원점,128.6134504,35.89778491,,
스타벅스커피대구침산DT점,128.5918589,35.88747633,,
투데이로스팅커피경대점,128.6137906,35.88480495,,
스타벅스경북대점,128.6085659,35.89233728,,
LIONSUB & COFFEE IN(커피인동서변점),128.6034189,35.91977113,,
GP카페,128.6107238,35.89179653,,
나의달콤한상자,128.5571541,35.93438653,,
한뼘,128.6096893,35.89314425,,
요거프레소,128.5875939,35.88546197,,
더블유-켈렉션,128.6134295,35.88442114,,
몽블랑,128.5439951,35.9198426,,
매스커피칠곡3지구,128.562987,35.94185756,,
빈스마운틴,128.5469846,35.90983855,,
쏘울메이트(Soul mate)원대역점,128.5745829,35.88806195,,
칠성(펀),128.6044406,35.87685307,,
더까페,128.6103841,35.90528982,,
투썸플레이스경북대점,128.6077546,35.8918947,,
조이커피,128.5488914,35.93227079,,
해리슨커피숍,128.6208599,35.8927267,,
웃찌커피,128.6038154,35.88832525,,
헤이미쉬(Heimish),128.5665092,35.94869803,,
투썸플레이스대구태전점,128.5477715,35.9309629,,
콤마,128.6144386,35.90089613,,
데이세븐(DAY7),128.5456132,35.92558396,,
엔제리너스칠성시장역점,128.606474,35.87716794,,
쉴만한물가,128.550784,35.93854117,,
시크릿가든,128.6061476,35.89504126,,
청춘다방,128.5454842,35.91908721,,
쿠즈코커피(대구제일점),128.5495906,35.93677675,,
투데이로스팅커피칠곡점,128.5471959,35.94143013,,
카페봄봄(보건대점),128.5471249,35.92650338,,
쥬씨경북대점,128.6092593,35.89352362,,
제이커피,128.5823758,35.88802061,,
마시그래이금호점,128.514851,35.89691528,,
반반다방,128.6102198,35.88002971,,
복현동커피,128.6240143,35.89420889,,
커피1번지,128.5961884,35.92056605,,
바오밥카페,128.5473173,35.94681197,,
쪽방,128.561088,35.94304754,,
커피팩토리,128.608926,35.88111887,,
휴카페테리아,128.621916,35.89610729,,
몬스터커피본점,128.5578196,35.94343434,,
카페트아르,128.5554099,35.95204605,,
더느림,128.5104651,35.89834578,,
스윗클래식(sweet classic),128.5502411,35.91549141,,
멍그라운드,128.5573757,35.94388094,,
카페소셜랩,128.5410106,35.91393548,,
미소떡까페침산점,128.587162,35.89127319,,
예(YE)2,128.5825979,35.88136743,,
커피바라기,128.5991745,35.89600303,,
루다,128.6123001,35.88478342,,
디초코릿커피앤드,128.5937778,35.88384424,,
카페데코믹스대구점,128.6201604,35.8931886,,
투썸플레이스대구삼성크리에이티브캠퍼스점,128.5937778,35.88384424,,
키아누,128.6101048,35.88585964,,
코르코르커피,128.5864386,35.88605704,,
커피야,128.5762043,35.94908121,,
크누코옵피,128.6121814,35.89061115,,
반반다방,128.6129541,35.89613384,,
마시그래이침산점,128.5901796,35.88944568,,
김스커피,128.6068164,35.90745872,,
카페레드베리,128.6102403,35.90254915,,
아니스커피(ANIS Coffee),128.5665422,35.93337097,,
샐러데이경북대점,128.6099578,35.89430302,,
투포인트,128.5718812,35.94269489,,
라비타커피,128.5955651,35.87605699,,
골목안쪽,128.5628417,35.94392387,,
카페마실,128.567405,35.95138902,,
까페모임,128.5704058,35.94222489,,
카페반반,128.556505,35.95615509,,
커피명가 경대북문점,128.6092969,35.89327468,,
슬립리스인시애틀,128.5644193,35.94262361,,
유아어썸커피,128.5427859,35.90855988,,
잉글리쉬카페,128.6105354,35.89400367,,
에녹커피,128.5817449,35.88568327,,
커피바스켓,128.5577239,35.9376692,,
별다방,128.5885722,35.88834783,,
모모커피,128.5503392,35.94201802,,
썸(SSUM),128.5541123,35.94978235,,
빽다방대구보건대점,128.5444766,35.92705645,,
카페이야기숲,128.6145874,35.89912511,,
할리스커피동천점,128.5604659,35.94272365,,
카페본,128.5603488,35.94415789,,
0901칠곡점,128.5476741,35.93004373,,
빽다방침산점,128.5906473,35.8911621,,
써니카페앤플라워,128.5867196,35.90155655,,
메가커피,128.5606174,35.94343565,,
요거프레소대구복현점,128.6191663,35.90117877,,
(주)보나비 아티제 대구삼성캠퍼스점,128.5937778,35.88384424,,
퍼즈X멜트베이커리(PAUSE X Melt bakery),128.6249994,35.89920109,,
메가커피태전점,128.5480615,35.91860361,,
이크림(Lee크림),128.5598684,35.9390701,,
올드캐슬,128.5837859,35.88409232,,
보네스트커피(Bonest coffee),128.5529625,35.938183,,
스타벅스대구유통단지점,128.6131545,35.90546737,,
다과점빵(산격점),128.6125508,35.89951816,,
카페에이(A cafe),128.5099114,35.89895724,,
콘크리트,128.6070709,35.88630381,,
요거프레소,128.6060301,35.89784312,,
카페앙,128.5702982,35.9421169,,
투썸플레이스칠곡학정점,128.5665394,35.95754255,,
헬로우어게인,128.5506889,35.92106505,,
헬로우어게인(복현점),128.6164117,35.88952842,,
"하이다과점(HI, 다과점)",128.5937221,35.88054572,,
아지트카페,128.5470388,35.9259201,,
하프문카페,128.5497353,35.93341534,,
아마스빈대구칠곡점,128.5624775,35.94189547,,
아농(annon),128.549761,35.92273171,,
너티차일드 대구점,128.5937778,35.88384424,,
채움까페,128.5507385,35.92152345,,
반짝반짝빛나는,128.6104707,35.89462993,,
OHOO(오후),128.6132073,35.90306477,,
구르메,128.6038168,35.91978537,,
헬륨카페(HELIUM CAFE),128.5685172,35.89067058,,
크누라운지,128.6104653,35.89158379,,
마시그래이산격대우점,128.611466,35.90056696,,
케이클래스커피노원점,128.5740695,35.88820539,,
봄봄읍내점,128.5494503,35.93587309,,
빌리브라운태전하늘점,128.546864,35.91280739,,
퀴즈노스칠곡경북대학교병원점,128.5641509,35.95621084,,
블라인드멜론북문점,128.6112894,35.89457389,,
김선생커피,128.5659016,35.95670057,,
커피브레드(coffee BRed),128.6055244,35.87905095,,
다빈치칠곡메가박스점,128.5617179,35.94405961,,
카페(cafe)파리도시,128.5692557,35.94735622,,
핸즈커피(동천점),128.5610119,35.94267096,,
공차대구칠곡점,128.5633037,35.94383351,,
프라이스커피(price coffee),128.6187331,35.89393642,,
로잉커피,128.6119543,35.88545013,,
데이데이,128.6090999,35.89332066,,
테리커피로스터스,128.5823851,35.8876011,,
플로리안(FloriAhn),128.5618513,35.9316046,,
"카페,발견자",128.553855,35.94556773,,
몬스터커피칠곡3지구점,128.5603477,35.9434908,,
핸즈커피팔달시장점,128.5688422,35.88924262,,
꽃커피랑,128.6059935,35.89119573,,
카페포인트,128.5664926,35.93476487,,
카페나우북구청점,128.5828249,35.88562414,,
마시그래이,128.6125105,35.90510791,,
마시그래이서변점,128.5988227,35.9208317,,
공차롯데 대구점,128.5955651,35.87605699,,
스타벅스대구칠성DT점,128.5962598,35.87966341,,
빌리브라운동천점,128.5600812,35.94217202,,
소담까페,128.6011838,35.89032675,,
파스쿠찌(침산점),128.5858441,35.88466361,,
공차대구침산점,128.5901796,35.88944568,,
프라이스커피,128.6151654,35.90020366,,
커피왕,128.5158338,35.89701867,,
샌드위치만드는남자,128.5446316,35.93002877,,
이디야대구시민운동장점,128.5893405,35.87982854,,
쥬시박스경북대점,128.6106897,35.88551189,,
마시그래이매천점,128.5471642,35.9132285,,
잔잔카페,128.611466,35.90056696,,
에스프레소 청담(Espresso Cheongdam),128.544901,35.92703243,,
단거,128.6101177,35.88623597,,
카페봄봄(칠곡운암역),128.555896,35.93208359,,
피쉬마운트커피,128.5870577,35.88469327,,
라온카페,128.5455611,35.92014903,,
카페데일리,128.5112982,35.89799016,,
콤마위치,128.5575534,35.93692608,,
핸즈커피복현점,128.6255133,35.89140364,,
세컨바닐라,128.5763676,35.88796428,,
카페인(in),128.6096519,35.90631631,,
몬드(MOND),128.5645477,35.95408097,,
올가홀푸드롯데백화점대구역사점,128.5955651,35.87605699,,
구공카페,128.5988227,35.9208317,,
놀숲대구동천본점,128.5605536,35.94309865,,
공차삼성창조경제단지점,128.5937778,35.88384424,,
구암동김양커피,128.5542939,35.92791071,,
파리엔테스,128.5559283,35.93234477,,
(재)케이티그룹희망나눔재단북대구점,128.5818756,35.88178823,,
별에서온커피,128.6068164,35.90745872,,
루트커피,128.6110224,35.89436174,,
카페0937,128.5697437,35.94084436,,
더벤티금호점,128.5098889,35.89846711,,
아소카페(Aso cafe),128.6223331,35.89288433,,
리틀냅,128.5666477,35.948042,,
