,카페이름
560,두산동 더포켓
561,동천동 커피베이 대구칠곡점
562,관음동 소지숍
563,대현동 미씽파파
564,침산3동 보케르 침산점
565,범어2동 카페땡끝
566,범어4동 문
567,수성3가동 대림다방
568,구암동 까망콩
569,만촌1동 마스터
570,침산1동 현대커피숖
571,수성1가동 J&F
572,황금1동 브마롱
573,황금2동 향
574,태전1동 마그마힐링심리상담카페 태전
575,침산1동 로지트 2호점
576,수성3가동 장미다방
577,침산1동 테리커피로스터스
578,범어3동 석뮤직
579,수성4가동 공차 대구수성점
580,범어4동 아마스빈 대구범어점
581,관문동 더느림
582,노원동 노원다방
583,범어1동 분더브레드 범어점
584,범어2동 가희빈
585,읍내동 보네스트커피
586,침산2동 달담커피
587,범어3동 텐퍼센트커피 대구범어동천초점
588,파동 고바슨
589,관음동 커피산책
590,범어1동 101부티크북스
591,무태조야동 아이엠커피 서변점
592,수성2가동 매머드익스프레스 대구수성
593,상동 골든게이트
594,산격4동 코펜하겐커피
595,침산2동 라포레
596,무태조야동 청담커피
597,구암동 카페0937
598,산격1동 달리는커피 대구산격1호점
599,태전2동 대림다방
600,태전1동 혜민커피
601,만촌3동 뜨락카페
602,파동 코트니마켓
603,범어2동 오퍼커피
604,수성4가동 5후
605,상동 카페앤키즈
606,무태조야동 스테이
607,침산3동 아마스빈 대구침산점
608,태전2동 더미네랄까페 본사직영매천점
609,상동 베이글닥터 들안길점
610,노원동 테리커피로스터스
611,만촌1동 블루벤치
612,복현1동 글로벌플라자 카페테리아
613,만촌3동 카페봄봄 수성대점
614,복현1동 메가MGC커피 대구복현아이파크점
615,구지면 카페보스 대구구지점
616,두산동 셀프바리스타 황금점
617,태전2동 레프트뱅크
618,노원동 진커피숍
619,대현동 득조다방
620,수성1가동 선데이무드
621,만촌2동 카페봄봄 수성대점
622,만촌3동 달동네과자점
623,동천동 공차 대구칠곡점
624,범어4동 슬로우
625,산격2동 낭만놀이
626,산격3동 트웬티(TWENTY)
627,검단동 스타벅스 대구유통단지점
628,상동 썸
629,복현2동 요요커피 복현본점
630,태전2동 더드림커피 대구태전2호점
631,황금1동 서로커피 만촌점
632,국우동 라임
633,검단동 카페라온
634,복현1동 블랙디어카페앤펍
635,읍내동 카페조안나 칠곡점
636,관음동 몬스터커피 팔거역점
637,국우동 린네베이크
638,수성2가동 레디투커피
639,침산1동 레스트온선데이
640,침산3동 그랜디스
641,무태조야동 레토
642,침산2동 나인블럭 투가든대구점
643,대현동 라포레
644,칠성동 더커피상회
645,관음동 파스텔
646,무태조야동 링넛
647,복현2동 위치커피 대구복현행복점
648,범어3동 플랜 범어점
649,산격1동 코펜하겐커피
650,관문동 시에로
651,범어1동 카페생활
652,만촌1동 호미다방
653,관음동 스마트카페
654,파동 어라운드크림
655,관문동 바루베이크샵
656,두산동 커피명가 어나더 랩
657,칠성동 루미에르
658,만촌2동 레제드라마
659,복현2동 미소커피숍
660,복현2동 겐조
661,국우동 김선생커피
662,대현동 게코타워
663,산격3동 그린그루브 경북대점
664,침산1동 설래당
665,황금2동 살랑커피
666,침산2동 플레브
667,수성1가동 옹글스카페
668,복현1동 수커피의류
669,태전1동 카페코지(cafe kosie)
670,태전2동 조이커피
671,수성4가동 가로장
672,산격1동 투썸플레이스 대구경북대점
673,만촌3동 카페27초
674,구암동 드롭탑 대구3지구점
675,태전2동 킹콩쥬스&커피 칠곡태전점
676,침산1동 올드캐슬
677,무태조야동 파스쿠찌 대구동서변점
678,수성3가동 세이커피스탠드
679,노원동 앗다방
680,관문동 마시그래이 매천점
681,범어4동 스무디킹 이마트24범어로데오점
682,산격1동 댕스미스
683,황금2동 우리다원
684,침산2동 메가MGC커피 대구칠성동점
685,수성4가동 브라운103
686,산격4동 헬리빈커피 경대북문점
687,노원동 B움
688,만촌2동 뜨락카페
689,칠성동 더하당
690,산격4동 투썸플레이스 대구경북대점
691,태전1동 카페162
692,수성4가동 핑거커피
693,범어1동 타라
694,중동 우리다원
695,침산1동 파스쿠찌 대구침산점
696,범어1동 카페인하우스
697,국우동 드롭탑 대구병원점
698,복현2동 해리슨커피숍
699,무태조야동 진짜할머니쥬스
700,태전1동 올인 홀덤카페 보건대점
701,수성2가동 몽키바나나
702,파동 커피왕
703,범어3동 그로잉
704,관문동 커피파리스
705,노원동 코너커피 침산점
706,칠성동 팔공티 이마트칠성점
707,두산동 몰타
708,수성3가동 카페희
709,수성1가동 ITALIAN RED COFFEE
710,대현동 새카만
711,구암동 갤러리커피
712,산격3동 더리터 경북대점
713,태전2동 아델리커피
714,수성1가동 베스트프레즐 대구수성점
715,만촌1동 마타보카커피
716,국우동 LP뮤직바 아날로그
717,수성3가동 DGB카페휴
718,만촌1동 조조커피
719,무태조야동 텐퍼센트커피 대구동서변점
720,국우동 삼십육점오(36.5)
721,침산1동 코헨커피
722,수성3가동 베스트프레즐 대구수성점
723,태전1동 뮤지엄카페
724,복현2동 나드리커피숍
725,수성2가동 하이라운지
726,산격2동 하삼동커피 대구산격점
727,두산동 커피스미스
728,검단동 공차 이시아폴리스점
729,침산1동 침산오봉살롱
730,칠성동 하이다과점
731,태전2동 윤슬다
732,복현1동 블럭커피
733,침산1동 도너츠윤 대구직영점
734,노원동 몬스터커피 비원점
735,관음동 춘이네커피살롱
736,황금1동 맘쓰랩
737,동천동 카페주레
738,산격2동 필그레이트풀
739,대현동 극장문
740,산격3동 설빙 대구경북대점
741,범어4동 잔향
742,수성3가동 카페루팡
743,수성3가동 투고커피
744,만촌1동 산들언덕카페
745,수성2가동 덕산커피숍
746,구지면 카페99
747,태전1동 옐로루테이프
748,관음동 로투스
749,태전1동 미스앤칩스 보건대점
750,무태조야동 카페1793
751,무태조야동 한얼카페
