,카페이름
960,반할커피 남구점
961,도케비커피 신월성점
962,마이브라운노트
963,품공방카페
964,Wilk
965,다빈카페 성당점
966,커피 제5지구
967,카페빵빵
968,카페빈
969,디카프리커피로스터스 본점
970,이사빛
971,커피장인 경대북문점
972,바나다커피
973,해브아워
974,씨엘커피
975,멜번레인
976,커피프렌드
977,차를마시다
978,카페아이니
979,공차 범어로데오점
980,피쉬마운트커피 침산점
981,릴리오브더벨리
982,코지커피
983,소쿠리과자점
984,리움
985,이명재커피
986,텐퍼센트커피 대구죽전역점
987,라삐아이
988,더블유컬렉션 경북대점
989,치팅파티
990,땡큐다방
991,퍼피80
992,센스컵
993,더리터 대곡역점
994,일상다반사
995,카페문101
996,아일랜드커피숍
997,은휼강
998,파스쿠찌 대구다사점
999,커피나인 대구장기로
1000,달콤한점빵
1001,마실커피 범어로데오점마실9호
1002,바리스타B
1003,노엘블랑 범어2호점
1004,매스커피 대신남산점
1005,카페오월애 유가점
1006,커피베이 대구상인점
1007,브라운브릭스
1008,구름나무
1009,BB마켓
1010,투썸플레이스 대구동북로점
1011,카페 아리움
1012,카페헤더
1013,모먼트
1014,과일창고앤디저트커피
1015,크로플덕 오리아가씨 달서구점
1016,사이섬
1017,주전자
1018,모리커피 수성시장역점
1019,낭만놀이
1020,부바스
1021,아틀리에빈 화원점
1022,르카페
1023,투썸플레이스 대구남산점
1024,설빙 대구동촌유원지점
1025,버블앤
1026,골목안카페
1027,매스커피 대구은행역점
1028,두남
1029,B움
1030,에쎄커피숍
1031,연화
1032,카페99
1033,커피셀러 성당못점
1034,메테오라
1035,샌타바버라
1036,카페봄봄 동화점
1037,인블라썸
1038,커피엘
1039,마이앤써이즈쿠키
1040,엘리스커피
1041,PARIENTESS
1042,커피앤마카롱
1043,카페로건
1044,읍내다방
1045,앤지스앤틱갤러리
1046,보보스
1047,투썸플레이스 대구만촌점
1048,허카페
1049,라니카페
1050,구트오피스커피
1051,하삼동커피 대구침산점
1052,엘리시아
1053,별들의다방 장기점
1054,발루토커피
1055,산마루다방
1056,커피명가 경대북문점
1057,오버커피
1058,몬스터커피 상동점
1059,초이스커피숍
1060,짝라이브
1061,커피명가수성못어너더랩에이엔오더알더블유알에이피
1062,케슬스터디9카페
1063,밀크올로지
1064,카페맑음
1065,핑크슬라임
1066,카페루엔
1067,카페아늑
1068,힉스커피 비산점
1069,타쎄카페
1070,스토랑트커피 대구대곡점
1071,올리브카페
1072,매스커피 반월당점
1073,더리터 범어점
1074,꽃자리다방
1075,카페달래
1076,라온데일리
1077,카페봄봄 팔달점
1078,짙은
1079,오 그레이
1080,카페온
1081,티타임커피 영남지사
1082,더리터 대구알파시티점
1083,제이제이커피
1084,85커피
1085,딥고잉
1086,더맛있는카페
1087,카페조이원
1088,마시다
1089,일인칭
1090,나우커피 대구동변점
1091,설빙 앞산점
1092,소피의커피테이블 서구비산동점
1093,늘봄다방
1094,핸썸커피 범어점
1095,커피스타
1096,아리수라이브카페
1097,카페J
1098,로브커피
1099,구움도
1100,청솔로9 연경점
1101,이에커피공간
1102,카페라이더
1103,커피명가 시지점
1104,파클렛
1105,더착한커피 칠곡점
1106,카페따숲
1107,맘스커피
1108,요아정 황금동점
1109,빽다방 대구서구청점
1110,카페피움
1111,커피에반하다 대구연경점
1112,24H판다
1113,카페올리브
1114,용주카페
1115,텐퍼센트커피 대구성서계명대점
1116,더벤티 대구이시아폴리스점
1117,마니
1118,매화양과
1119,브릴란테타타
1120,탐앤탐스 대구엘디스호텔점
1121,글레이즈커피
1122,아파트먼트 대구중앙점
1123,다모임카페
1124,카페찐
1125,제일다방
1126,카페372
1127,코미짱의디저트가게
1128,골목커피
1129,로정전통카페
1130,치폴리니
1131,동향커피
1132,더카페 대구이월드점(1층)
1133,프라이스커피
1134,커피앤번 서문시장점
1135,캔버스 영진전문대점
1136,라이크유
1137,ROUND COFFEE SQUARE
1138,수다헌
1139,동촌라이브
1140,캠핑독
1141,몬스터커피 이곡점
1142,더하다커피
1143,드롭탑 대구병원점
1144,카페평일
1145,봉명동내커피 대구경북대점
1146,더치앤빈 대구이시아폴리스점
1147,카페카리타스 서구점
1148,카페하늘 민들레
1149,LP뮤직바 아날로그
1150,첼로레스카페
1151,더리터 수성구청역점
1152,카페 티그레
1153,오더블유오 대구점
1154,리프컴퍼니
1155,더리터 경북대점
1156,탑커피
1157,메종드샤베르
1158,카페엠트리 서부점
1159,진흥다방
1160,범물다방
1161,카페 블루밍
1162,쎄씨봉봉
1163,카페모이바
1164,힐링하루
1165,브라운커피&라디오비어
1166,카이스스트릿트샵
1167,카페봄봄 서문시장점
1168,쿠덕쿠덕
1169,한뼘
