,카페이름
855,카페봄봄 월배점
856,키즈몬 키즈카페
857,아마스빈 대구죽곡점
858,칠분의이커피
859,일루스터테이블
860,피쉬마운트 범물점
861,이런커피
862,서울다방
863,할리스 대구본리점
864,리시트
865,빽다방 대구다사세천점
866,웰스프링
867,몬스터커피 유천점
868,티스테이
869,카페온니담
870,브루업
871,Romance papa
872,플랜 대구진천점
873,카페로사
874,쿠잉버터
875,하연
876,슈에뜨
877,카페코소보
878,카페재충천
879,욜로커피
880,정안다방
881,모멘트핸드드립카페
882,슈퍼커피 대구테크노폴리스점
883,커피명가 어나더 랩
884,카페봄봄 성서아울렛점
885,카페마일드
886,달달스텝
887,고양이랑 카페놀이
888,핸썸커피 신월성점
889,메르헨카페
890,동방다방
891,지원커피숍
892,더플러스커피
893,공차 롯데상인점
894,몬스터커피 지산점
895,주커피 대구진천점
896,커피스탑 본점
897,디저트카페딥앤딥
898,쭈롱베이크샵
899,호두당 대구다사점
900,카페봄봄 이곡점
901,투썸플레이스 대구월성점
902,몬스터커피 호림점
903,마이하우스
904,파스쿠찌 대구용산점
905,래리커피
906,이디야커피 대구금포점
907,달콤현주씨
908,위니드
909,이디야커피 대구설화명곡점
910,망원동티라미수 상인점
911,빈즈드랍
912,빽다방 대구용산점
913,메가MGC커피 대구다사점
914,비올라
915,하이멍뭉
916,카페051 대구신월성점
917,카페모투이
918,카페70도씨 이곡점
919,소리제이
920,요거트아이스크림의정석 화원대곡점
921,씨익
922,범물다방
923,토닥이다
924,생짠카페
925,컴포즈커피 대구다사점
926,M카페
927,커피플러스
928,빌라데스테
929,영지다방
930,모닝커피
931,카페캔버스
932,이디야커피 대구상인점
933,김명옥헤어카페
934,필레몬스
935,모도
936,라테라스웨딩 카페라테라스
937,헤이트먼데이 성서점
938,커피랑도서관 성서계명대점
939,하삼동커피 대구엠스퀘어점
940,원화다방
941,다방공방
942,트랩코리아 대구월성점
943,루체
944,베스트트레이딩
945,푸유
946,아잉카페
947,요거잇
948,카페리부트
949,팬도로시 디지스트점
950,비슬홍차
951,튜드커피바
952,이오커피
953,이디야커피 대구죽곡점
954,하이오커피 대구중리점
955,더리터 지산점
956,동네카페
957,몬스터커피 상인점
958,이디야커피 대구시지고교점
959,콩볶는아저씨
960,더꾸움
961,청솔로9 죽전점
962,굿타임7090
963,구움도
964,핸즈커피 죽곡점
965,센스컵
966,마사커피 성당점
967,카페 플록
968,비개인날
969,크로앙쥬 대구두류역점
970,공감앤카페
971,카페칸
972,구르미머무는
973,카보드커피
974,이층카페
975,팔공티 관문시장점
976,카페스테이골드
977,할리스 대구현풍테크노점
978,안단테
979,수채화커피숍
