,0
남산4동 넬스커피,https://drive.google.com/uc?id=1Z9XjT75RYV6wU5vYubqsQd0qN7G3SWUK
남산3동 꾸덕꾸,https://drive.google.com/uc?id=1hrTWoaCPitm7-4iPKKAoVvXQKkhUzPvc
대명9동 이나커피,https://drive.google.com/uc?id=1oRmlyi_pKDJGF8sQCekB7JwrFpokojFg
대명9동 코지모먼트,https://drive.google.com/uc?id=1daz9tY7lwgK3GXKXNucAT8Iz80MaGsiX
대명9동 허니잘,https://drive.google.com/uc?id=1T4mBZbQk3pLib6s_Kqem-XFyR7EQw2Eu
대명5동 이디야커피 대구대명동점,https://drive.google.com/uc?id=1VNhgt2LVymhRpdUCET17Hj4SERU-YCoE
대명4동 구공카페,https://drive.google.com/uc?id=1TnALFGyzMyjoCzke_HtAauWLzNr7HFw5
남산3동 설빙 대구대명점,https://drive.google.com/uc?id=1UCZkYy5o8y07nH2SDk8cva1hcqwS-nRv
대명3동 더벤티 대명계대점,https://drive.google.com/uc?id=11zTMtGPvmZsbehaXwtep7OC-1apljtkM
대명1동 설빙 앞산점,https://drive.google.com/uc?id=1v0Yae8jaxZ-D1j4EFDQcEVrbs2O37eKp
대명1동 백금당,https://drive.google.com/uc?id=1zCoDHbHe4itSMrM_wDe2y-A15lATDVvu
대명9동 낯선익숙함,https://drive.google.com/uc?id=1xy5cKFQbKkhWyc2mydaCLyjXQZ8i7CCD
대명1동 디어스윗,https://drive.google.com/uc?id=17IrCRLJv3Wxn3t2Ss4QPCgVnTmDikGJW
대명9동 카페평일,https://drive.google.com/uc?id=1tLcdoGpgTUyM4b-fF7UqO-PWDymlpU37
대명6동 옐로우브런치,https://drive.google.com/uc?id=1Bo_nFmNiVTj0SWkwfyc6LluzCeK_S8VH
대명9동 두낫디스터브앞산,https://drive.google.com/uc?id=1PNBPwRe-01x7cFeg1xc_reOYl2JCFAnv
대명9동 플란트,https://drive.google.com/uc?id=1ZBrLUAtvZaZH6lZhUikUuO71UZglGRa2
봉덕3동 소금카페,https://drive.google.com/uc?id=1nN0uWRp0iUGtudCVUPvVEh2C8Jd1Gr3e
봉덕3동 무드부스터,https://drive.google.com/uc?id=11opETcIADMabNtzkz1aXnLW2WD5Jqwgx
봉덕2동 설카페,https://drive.google.com/uc?id=1pirlDf1duPfvsOvKamixzWBSET7BonXs
봉덕2동 커피농부,https://drive.google.com/uc?id=1op22tCfQkJ3d-d9By8Ghtx8nNLjyDFnf
봉덕2동 투썸플레이스 대구남구청희망로점,https://drive.google.com/uc?id=1c7VAwaFgiS-T-3W3iRDQ64A1LuVA0YvU
봉덕1동 이디야 대구이천점,https://drive.google.com/uc?id=1CyBulT_4nm8tdrMrlpFjcESnmh9Athlg
진천동 카페봄봄 수목원점,https://drive.google.com/uc?id=1lnAJILVO_9tkr3MzHSW2EI92VoIUupf_
진천동 핸즈커피 대곡점,https://drive.google.com/uc?id=1JL7RgqVEOWOVp-hH8s-8llcQo_B836rL
진천동 커피팀버 대곡점,https://drive.google.com/uc?id=1Gkga0nRShF487XuOAarBuHNYbFVlFOAV
진천동 유고,https://drive.google.com/uc?id=1EMjWM6EKZf1GEmfsVC2tup4KY1frB0Hl
진천동 몬탁에서 만나,https://drive.google.com/uc?id=1q0VVpyST7342BsFIeTDMYG5pXdkU0dj1
진천동 커피허브,https://drive.google.com/uc?id=1JOIsd3-ibnRYyshE3LpUD0ClItpqsKDQ
감삼동 달콤하마,https://drive.google.com/uc?id=12UiuWuh3Lryvx2qnoP4bWjgdVtcZQjWX
감삼동 장미카페 감삼점,https://drive.google.com/uc?id=1jD9sVeytM7aVZt_kaWYtf0WWORHpKSp_
죽전동 다복커피,https://drive.google.com/uc?id=1xxdn88-m6xQzXM7RIl533h8-IRQPcVcK
이곡2동 서로커피 이곡점,https://drive.google.com/uc?id=1XaafppznYz0p6mpVF90CvgcwTVP6Sl4Q
이곡2동 투썸플레이스 대구계명대점,https://drive.google.com/uc?id=1nVaJ2v7HjIhix_kLbqSOSdFzcINsT3Y5
이곡2동 탐앤탐스 대구계명대학교점,https://drive.google.com/uc?id=1LevUiN7nIJwsVOaVSchzUKpenfvKpoeg
이곡1동 공차 대구이곡점,https://drive.google.com/uc?id=1wzcYjhOmHCrGEHW8baZ6E9_UiqeUkDl_
이곡2동 텐퍼센트커피 대구성서계명대점,https://drive.google.com/uc?id=1HGkGBnWq4Q6QKOQ2CChRx8S79-M3Bf-Y
신당동 카페봄봄 계명대점,https://drive.google.com/uc?id=1jqeQY4jDPo_oA1u7JJDVvTGhJ0gSOI_R
신당동 더벤티 계명대점,https://drive.google.com/uc?id=196mZJXD9ktW2YOvi9o5yh8JHwTepKFSM
이곡2동 달달한하루 계대동문점,https://drive.google.com/uc?id=12D7QG9FOwaKWTz3E_mUjLebe8rSfoCHF
신당동 두쇠르,https://drive.google.com/uc?id=1W_b4U40F-gPY63JSIBfGSfKoC39jNzdl
신당동 달콩디저트,https://drive.google.com/uc?id=1GhLHtHd0S0QUXuKB3rGknh6SVz81lwwS
신당동 카페인중독 대구성서계대점,https://drive.google.com/uc?id=1lCvka6p31s1kxTEPBaPzg51Ng7-J0D1O
신당동 피피피,https://drive.google.com/uc?id=1rEi5a4kSC-M_TVQ6_j09Bi9-C1i1K6VQ
신당동 뉴포트비치커피,https://drive.google.com/uc?id=1t3B_ubo8H7vul0fCsluWZQ3ee4hdg2Y2
두류3동 켄버스,https://drive.google.com/uc?id=1YDxr5p6eK4mMTSy4b7qnE4Ee1FaHpQu5
송현2동 그룬,https://drive.google.com/uc?id=13WuUFgiUHFeuRrHx3HoUEWr5IM8tS4dw
송현2동 카페반달,https://drive.google.com/uc?id=1OhPicKqLTFu26dtATY5JgoxN8c_HHIoT
본리동 핸즈커피 성당점,https://drive.google.com/uc?id=1PkN4Pa2mBCI0hJKr54h_fCdQ3ynXaTp2
성당동 데이데이커피,https://drive.google.com/uc?id=1AVQSCdZ248S_BTmOF-zeYcy2DDGt_-iC
대명11동 팔팔커피,https://drive.google.com/uc?id=1Efo-kK_zC3fSSaimL-YhCJBDWusAE0ww
대명11동 빽다방 대구서부정류장역점,https://drive.google.com/uc?id=1yq8DtiMVphl5PWJLNN-My8j7bEkga45d
본리동 은화,https://drive.google.com/uc?id=100L-vxzLXGPpdSv5QyLFVrlpvFjpM3dt
성당동 보노미아,https://drive.google.com/uc?id=1qhS8Cd3EpQtspwathGdUVw4L9afNrQAI
신당동 메가MGC커피 대구계명대동산병원점,https://drive.google.com/uc?id=1HQbSsJffN6EL6VAaton6VOdLTDjKHPKv
신당동 공차 동산병원점,https://drive.google.com/uc?id=16cj3evhTUdaWkaInGzw7bhww69Eyzen0
용산1동 공차 홈플러스성서점,https://drive.google.com/uc?id=1ocYoJQBO-JrrjVK-F4BrNLaFqWxh5cks
용산1동 이디야 성서점,https://drive.google.com/uc?id=1uCntVXM2uDXndjJjYLzceSMUwp34h8-f
장기동 마시그래이 용산역점,https://drive.google.com/uc?id=1nQkCtTJKiCMEJsteQpyu_75UIWktH3aQ
용산1동 일육일161커피스튜디오일등과일,https://drive.google.com/uc?id=1Y5hQpAjXsAKuaBZQNUlPkVH6kXN453h4
