,0,1,2
대명6동 라니밍,https://drive.google.com/uc?id=1OWcXz5SdIwljNldGQmgPGBX9ddiT6Sy3,https://drive.google.com/uc?id=1tzZiKd6_obks0tlBS4sr131gTIs-7Qel,https://drive.google.com/uc?id=1K4qWxdGokG7pgSjLQrRWhPLint3GkTWO
봉덕2동 온오프 본점,https://drive.google.com/uc?id=1bP7y3ehY3_g-YAQoM9aMpFTgymB4tKEq,https://drive.google.com/uc?id=1CUEIOXD4dwwUNJ2kVw_z0E9CypE6bGIw,https://drive.google.com/uc?id=10pibrooxjo-ySCFoBVALrGugn2-PIKIe
봉덕2동 안도,https://drive.google.com/uc?id=1UhlItef4bm9dF7CcXjdcviCiSoTGoLhk,https://drive.google.com/uc?id=1B7BsSTA2aj94mTaUgmLet-TvoKEOmLSD,https://drive.google.com/uc?id=13bz2ltnBlEY6e1fK6qI8y7O96cB38waN
봉덕2동 시류,https://drive.google.com/uc?id=10CVltvsKoAngMLhUSLnxNgmN9-jPqQtS,https://drive.google.com/uc?id=1IEgEoEkytOj4aA0p0PrxaRxSEwk8g7QL,https://drive.google.com/uc?id=1iLDcI5oIzYv0awl41XnzP5Bh6OyyAx8p
수성1가동 에버유어스,https://drive.google.com/uc?id=1KWp1zPUeWUtkCRyH1UqS0SciFxEveEha,https://drive.google.com/uc?id=18Am8lsftoGnOnHVk5N3OzfsD2-rzj05V,https://drive.google.com/uc?id=1l6vm25kKmpqJzSa1d6--NGi1PyciEmxy
대명10동 투썸플레이스 대구가톨릭병원대로점,https://drive.google.com/uc?id=163oLaxJPctLhX3IgVE4rMZyjtDQiD0kC,https://drive.google.com/uc?id=1NZAp7swVKwBdGoJdS5kvP93KoR9bkaL2,https://drive.google.com/uc?id=1azuwDZWZIXc78kRObEfzdG13PNuFX2os
대명4동 칼터커피,https://drive.google.com/uc?id=1FuJce3nsdRmr1z3VI81YHVvdDWBDCv7i,https://drive.google.com/uc?id=14v0sBfyukmz8IsBSD0WmgL67W89n5Szq,https://drive.google.com/uc?id=1XrlfvGaGDy9V8JkyZekxDvUdHWJWvJ3Y
대명4동 파스쿠찌 대구가톨릭대로DI점,https://drive.google.com/uc?id=1tf3o7fKBKYaHgsQkHopfpzWIqWVDZjZ5,https://drive.google.com/uc?id=1vPS-q7C8Pmr_FWkd3CUbPBkCcPFLG7PX,https://drive.google.com/uc?id=1scTmelKw2dTvwZ76Q_df2ka5D29DDZrF
대명1동 카페체크 대명점,https://drive.google.com/uc?id=1oEjyncIQXTPP9s0k6ZN1BGeDFfDwTLIv,https://drive.google.com/uc?id=1DnIRZ6ZFMqQwIYxBGDW09zYrHcCDW0il,https://drive.google.com/uc?id=1n2zfJMHCqMmHZFgQVTHtXOuqBN5EZbBn
대명10동 말자커피,https://drive.google.com/uc?id=16rNQLFqNYz4vCt_0ebeNtAe57gij4U9n,https://drive.google.com/uc?id=1RuR4DSW-pijAv8uHj601LnpnDx-u79P1,https://drive.google.com/uc?id=1r_IX021SteRH-YTcKCGYgPj2t9LjGjnc
