,사업장명,카페이름
2416,이천동 달콤한점빵,달콤한점빵
2417,이천동 카와올라,카와올라
2418,이천동 브라운슈가,카페 브라운슈가
2419,남산2동 스파이시커피,스파이시
2420,남산3동 쿠덕쿠덕,쿠덕쿠덕
2421,남산3동 카페봄봄 남산점,카페봄봄 남산점
2422,남산2동 씨티씨커피로스터스,씨티씨커피로스터스
2423,남산1동 남산동커피,남산동커피
2424,대봉2동 문학서비스센터,문학서비스센터
2425,남산1동 커스텀비,커스텀비
2426,대봉2동 호안느,호안느
2427,남산1동 부루잉,부루잉
2428,남산2동 탠지커피하우스,탠지커피하우스
2429,남산3동 가듀,가듀
2430,대봉2동 블랙로드커피,블랙로드 커피
2431,대봉2동 오브너,오브너
2432,대봉2동 읍천리382 대구중구점,읍천리 중구점
2433,성내1동 딥고잉,딥고잉
2434,성내1동 딥커피로스터스,딥커피로스터스
2435,대봉2동 윌로우커피,윌로우커피
2436,대봉2동 리노운,리노운
2437,대봉2동 피플스커피,피플스커피
2438,대봉2동 브릭62,브릭62
2439,성내1동 코타커피,코타커피
2440,성내2동 어울리커피클럽,어울리커피클럽
2441,성내3동 카페 1.14km,1.14km
2442,성내3동 라디오데이즈,라디오데이즈
2443,비산2동 몽구네애견카페,몽구네 애견카페
2444,남산2동 캠프바이 커피명가,커피명가 캠프바이커피명가
2445,남산2동 나봄,나봄
2446,성내3동 요거프레소 서성네거리점,요거프레소 서성네거리점
2447,비산3동 더디퍼,더 디퍼
2448,성내3동 카페봄봄 북성로점,카페봄봄 북성로점
2449,성내3동 구디쉬,구디쉬
2450,성내3동 카페향촌,카페향촌
2451,성내2동 딥커피로스터스 향촌,딥커피로스터스 향촌
2452,성내2동 퍼센트14-3,퍼센트14 3
2453,도원동 온니컵로스터리,온니컵 로스터리
2454,성내2동 브릭커피,브릭커피
2455,성내3동 나스커피로스터스,나스커피로스터스
2456,이천동 김진수로스터리카페,김진수로스터리카페
2457,대봉2동 로스팅 파츠,로스팅 파츠
2458,남산2동 반월라떼,반월라떼
2459,남산3동 핸썸커피 남산점,핸썸커피 남산점
2460,성내2동 투썸플레이스 대구종로점,투썸플레이스 대구종로점
2461,성내3동 카페샌프란시스코,샌프란시스코
2462,성내2동 드리퍼베이커,드리퍼베이커
2463,성내2동 백금당 종로점,백금당 종로점
2464,성내3동 이씨씨커피,이씨씨커피
2465,성내3동 코그커피,코그커피
2466,남산2동 매스커피 반월당점,매스커피 반월당점
2467,남산1동 메이커피,MAYCOFFEE
2468,남산3동 투썸플레이스 대구남산점,투썸플레이스 대구남산점
2469,남산1동 아나바커피,아나바커피
2470,성내1동 더기커피,더기커피
2471,성내1동 타르타르 대구동성로점,타르타르 대구동성로점
