,사업장명,카페이름,,,,,,,,
243,두류3동 청솔로9 감삼점,청솔로9 감삼점,,,,,,,,
244,내당4동 파스쿠찌 대구칠호광장점,파스쿠찌 칠호광장점,,,,,,,,
245,내당4동 카페점보 달서점,카페점보 달서점,,,,,,,,
246,내당4동 엔제리너스 대구광장점,엔제리너스 대구광장점,,,,,,,,
247,두류3동 더리터 두류역점,더리터 두류역점,,,,,,,,
248,두류3동 스테이어,스테이어,,,,,,,,
249,내당4동 메가MGC커피 대구두류역점,메가MGC커피 대구두류역점,,,,,,,,
250,두류3동 카페수아,cafesooa,,,,,,,,
251,내당1동 델라파체,델라파체,,,,,,,,
252,내당1동 파스쿠찌 대구두류점,파스쿠찌 대구두류점,,,,,,,,
253,내당1동 카페봄봄 내당점,카페봄봄 내당점,,,,,,,,
254,내당1동 덕자네커피,덕자네커피,,,,,,,,
255,내당1동 두번째이야기,두번째이야기,,,,,,,,
256,내당1동 드롭탑 대구웨딩비엔나점,드롭탑 대구웨딩비엔나점,,,,,,,,
257,두류1동 엄마스,엄마스,,,,,,,,
258,내당2동 카페리즈,카페 리즈,,,,,,,,
259,신당동 이디야 대구호산동점,이디야커피 대구호산동점,,,,,,,,
260,신당동 덩치브루어스,덩치브루어스,,,,,,,,
261,신당동 1LL Maestro,1LL maestro,,,,,,,,
262,이곡1동 파스쿠찌 대구성서이곡점,파스쿠찌 성서이곡점,,,,,,,,
263,이곡1동 몬스터커피 이곡점,몬스터커피 이곡점,,,,,,,,
264,이곡1동 읍천리382 대구성서점,읍천리382 성서점,,,,,,,,
265,이곡1동 밥스딜라잇 성서점,밥스딜라잇성서점,,,,,,,,
266,용산1동 커피지상주의,커피지상주의,,,,,,,,
267,용산2동 카페더케냐,카페드케냐,,,,,,,,
268,이곡1동 더메종,더메종,,,,,,,,
269,용산1동 마시찌롱,마시찌롱 커피&마카롱,,,,,,,,
270,용산2동 그여행 용산점,그여행 용산점,,,,,,,,
271,용산1동 카페보담,보담,,,,,,,,
272,용산1동 크로플각,크로플각,,,,,,,,
273,용산1동 모리(Mori),모리,,,,,,,,
274,장기동 베리베리,베리베리,,,,,,,,
275,죽전동 브로커피,브로커피,,,,,,,,
276,내당4동 빽다방 대구두류점,빽다방 대구두류점,,,,,,,,
277,내당4동 투썸플레이스 대구7호광장점,투썸플레이스 대구7호광장점,,,,,,,,
278,내당1동 만타식스,만타식스,,,,,,,,
279,유천동 영커피 대구유천점,영커피 대구유천점,,,,,,,,
280,신당동 카페휘게,HYGGE,,,,,,,,
281,신당동 대흥커피,대흥커피,,,,,,,,
282,감삼동 카페리포레,카페 리포레,,,,,,,,
283,감삼동 빌리브라운 대구감삼점,빌리브라운 감삼점,,,,,,,,
284,감삼동 구공카페 감삼점,구공카페 감삼점,,,,,,,,
285,두류3동 카페 꽃이피다 감삼점,카페 꽃이피다 감삼점,,,,,,,,
286,성당동 카페봄봄 본리점,카페봄봄 본리점,,,,,,,,
287,본리동 마시멜로,마시멜로,,,,,,,,
288,성당동 더리터 달서시장점,더리터 달서시장점,,,,,,,,
289,두류3동 위치커피 대구두류점,위치커피 대구두류점,,,,,,,,
290,두류3동 레프트뱅크,레프트뱅크 두류광장점,,,,,,,,
291,두류3동 일하,일하,,,,,,,,
292,죽전동 커피프렌드,커피프렌드,,,,,,,,
293,죽전동 알리바바 대구감삼점,알리바바커피앤도넛 감삼점,,,,,,,,
294,본리동 몬스터커피 죽전역점,몬스터커피 죽전역점,,,,,,,,
295,성당동 오유디(OUD)카페,오유디카페,,,,,,,,
296,성당동 하루카페,하루카페,,,,,,,,
297,대명11동 카페그윽,카페그윽,,,,,,,,
298,두류2동 스무디킹 대구이월드점,스무디킹 대구이월드점,,,,,,,,
299,내당1동 투썸플레이스 두류공원점,투썸플레이스 대구두류공원점,,,,,,,,
300,두류1동 카페오늘은여기,카페오늘은여기,,,,,,,,
301,두류1동 스와레,스와레,,,,,,,,
302,두류2동 코어샌드 커피,코어샌드커피,,,,,,,,
303,유천동 포코아포코,포코어포코,,,,,,,,
304,상인3동 땡스투유,땡스투유,,,,,,,,
305,상인3동 몬스터커피 도원점,몬스터커피 도원점,,,,,,,,
306,상인3동 카페비올레타,카페비올레타,,,,,,,,
307,상인3동 카페23그램,카페 23g,,,,,,,,
308,상인3동 베를린에스프레소바,베를린 에스프레소 바,,,,,,,,
309,상인3동 휩스,휩스,,,,,,,,
310,상인3동 호두 베리케이크,호두베리케이크,,,,,,,,
311,유천동 청솔로9 화원점,청솔로9 화원점,,,,,,,,
312,진천동 카페브릿지,카페브릿지,,,,,,,,
313,유천동 카페또보아,카페또보아,,,,,,,,
314,진천동 로지트,로지트,,,,,,,,
315,유천동 달콤현주씨,달콤현주씨,,,,,,,,
316,상인1동 오마이그릭,오마이그릭,,,,,,,,
317,월성1동 천씨씨커피 대구신월성점,천씨씨커피 신월성점,,,,,,,,
318,월성1동 코타커피 월성점,코타커피 월성점,,,,,,,,
319,월성1동 컵넛 월성점,컵넛 월성점,,,,,,,,
320,월성2동 투썸플레이스 대구월성점,투썸플레이스 대구월성점,,,,,,,,
321,월성1동 카페봄봄 신월성점,카페봄봄 신월성점,,,,,,,,
322,상인2동 모모커피,모모커피 상인점,,,,,,,,
323,진천동 오더블유오 대구점,오더블유오 대구점,,,,,,,,
324,상인2동 모투이(Motui),모투이,,,,,,,,
325,상인3동 엠트리카페,엠트리카페,,,,,,,,
326,상인1동 천사카페,천사카페,,,,,,,,
327,상인1동 161커피스튜디오 상인점,161커피스튜디오 상인점,,,,,,,,
328,상인3동 마시그래이 상인점,마시그래이 상인점,,,,,,,,
329,상인1동 캐롯,캐롯,,,,,,,,
330,상인1동 더리터 대구상인점,더리터 대구상인점,,,,,,,,
331,상인1동 아마스빈 대구상인점,아마스빈 대구상인점,,,,,,,,
332,상인1동 더벤티 상인점,더벤티 상인점,,,,,,,,
333,상인1동 텐퍼센트커피 대구상인점,텐퍼센트커피 대구상인점,,,,,,,,
334,진천동 스캠프커피,스캠프커피,,,,,,,,
335,상인2동 아는카페,아는카페,,,,,,,,
336,상인2동 비티케,비티케,,,,,,,,
337,유천동 투썸플레이스 대구수목원점,투썸플레이스 대구수목원점,,,,,,,,
338,유천동 카페70도씨 본점,카페 70도씨 본점,,,,,,,,
339,상인3동 카페봄봄 대구도원점,카페봄봄 도원점,,,,,,,,
340,유천동 썸,썸,,,,,,,,
341,진천동 잭스커피,잭스커피,,,,,,,,
342,상인3동 커피라네,커피라네,,,,,,,,
343,상인3동 레프트뱅크 상인점,레프트뱅크 상인점,,,,,,,,
344,상인2동 요거트월드 상인점,요거트월드 상인점,,,,,,,,
345,상인1동 획,획,,,,,,,,
346,진천동 크레페원,크레페원,,,,,,,,
347,용산2동 쏘울메이트,Soul mate 쏘울메이트,,,,,,,,
348,이곡2동 플랜 성서계대점,플랜 성서계대점,,,,,,,,
349,이곡2동 카페드케냐,카페 드 케냐,,,,,,,,
350,신당동 한량가비점,한량 가비점,,,,,,,,
351,이곡2동 래리커피,래리커피,,,,,,,,
352,이곡2동 레프트뱅크,레프트뱅크 성서계대점,,,,,,,,
353,이곡2동 슬로우터틀 성서계대점,슬로우터틀 계대점,,,,,,,,
354,신당동 멜로우옐로우(mellow yellow),멜로우옐로우,,,,,,,,
355,신당동 카피707,Kaffi 707,,,,,,,,
356,신당동 카페꽃이피다 성서계대점,카페꽃이피다 성서계대점,,,,,,,,
357,이곡2동 요미학,요미학,,,,,,,,
358,이곡2동 공차 계명대점,공차 계명대점,,,,,,,,
359,신당동 빽다방 대구계명대점,빽다방 대구계명대점,,,,,,,,
360,신당동 아마스빈 계명대점,아마스빈 계명대점,,,,,,,,
361,신당동 스테인드글라스,스테인드글라스,,,,,,,,
362,이곡1동 가배바투,가배바투,,,,,,,,
363,이곡2동 카페70도씨 이곡점,카페70도씨 이곡점,,,,,,,,
364,용산2동 하삼동커피 대구이곡점,하삼동커피 대구이곡점,,,,,,,,
365,이곡2동 키보,키보,,,,,,,,
366,이곡2동 루체,루체,,,,,,,,
367,용산2동 힐링숲카페,힐링숲카페,,,,,,,,
368,이곡1동 마을카페 콩닥콩닥,카페 콩닥콩닥,,,,,,,,
369,대명4동 송우카페,송우,,,,,,,,
370,대명4동 그린페이스카페,그린페이스,,,,,,,,
371,신당동 이디야커피 대구성서호림점,이디야커피 대구성서호림점,,,,,,,,
372,신당동 하삼동커피 대구호산점,하삼동커피 호산점,,,,,,,,
373,신당동 몬스터커피 호림점,몬스터커피 호림점,,,,,,,,
374,신당동 카페봄봄 성서아울렛점,카페봄봄 성서아울렛점,,,,,,,,
375,신당동 탐앤탐스 대구호산점,탐앤탐스 대구호산점,,,,,,,,
376,화원읍 에이딘치,에이딘치커피 성서공단점,,,,,,,,
377,신당동 132에비뉴,132에비뉴,,,,,,,,
378,이곡2동 다옴디저트카페,다옴디저트카페,,,,,,,,
379,장기동 내일카페,내일카페,,,,,,,,
380,이곡1동 마시그래이 이곡점,마시그래이 이곡점,,,,,,,,
381,이곡1동 배달의카페 성서점,배달의카페 성서점,,,,,,,,
382,이곡1동 더플롯커피 성서점,더플롯커피 성서점,,,,,,,,
383,이곡1동 르쁘띠팔레드 고바슨 성서점,고바슨 성서점,,,,,,,,
384,이곡1동 투썸플레이스 대구이곡점,투썸플레이스 대구이곡점,,,,,,,,
385,이곡1동 그린그루브아카데미 성서점,그린그루브아카데미 성서점,,,,,,,,
386,이곡2동 빽다방 대구성서롯데점,빽다방 대구성서롯데점,,,,,,,,
387,이곡1동 더리터 성서점,더리터 성서점,,,,,,,,
388,이곡1동 할리스 대구성서점,할리스 대구성서점,,,,,,,,
389,이곡1동 커피랑도서관 성서이곡점,커피랑도서관성서이곡점 스터디카페,,,,,,,,
390,이곡1동 빌리브라운 이곡점,빌리브라운 대구이곡점,,,,,,,,
391,이곡2동 메가MGC커피 대구성서점,메가MGC커피 대구성서점,,,,,,,,
392,이곡2동 아마스빈 대구이곡점,아마스빈 대구이곡점,,,,,,,,
393,송현2동 로브카페,로브카페,,,,,,,,
394,송현2동 카페조오,카페조오,,,,,,,,
395,상인1동 매머드익스프레스 대구상인점,매머드익스프레스 대구상인점,,,,,,,,
396,상인1동 카페봄봄 월촌점,봄봄 월촌점,,,,,,,,
397,상인3동 에이비오보,에이비오보,,,,,,,,
398,상인1동 칠분의이커피,칠분의이커피,,,,,,,,
399,송현1동 카페77,카페77,,,,,,,,
400,송현1동 스테이1953,스테이1953,,,,,,,,
401,송현1동 오후세시,오후 세 시,,,,,,,,
402,상인3동 나인엣지,나인엣지,,,,,,,,
403,두류3동 졸음쉼터카페,졸음쉼터CAFE,,,,,,,,
404,두류3동 헤드스페이스커피,헤드스페이스커피,,,,,,,,
405,두류2동 카페오헤이,오헤이,,,,,,,,
406,성당동 체리디저트,체리디저트,,,,,,,,
407,성당동 달달구리,달달구리,,,,,,,,
408,두류3동 카페코소보,카페 코소보,,,,,,,,
409,두류3동 마실커피 광장코아점,마실커피 광장코아점,,,,,,,,
410,내당4동 블라인드멜론 졸리루어점,블라인드멜론 졸리루어점,,,,,,,,
411,내당4동 카페몰리스,카페 몰리스,,,,,,,,
412,내당4동 브릭스,브릭스,,,,,,,,
413,두류3동 허니넛,허니넛,,,,,,,,
414,두류1동 스탬프커피,스탬프커피,,,,,,,,
415,두류2동 MANY MAKE,MANY MAKE,,,,,,,,
416,두류2동 윤스,윤스커피,,,,,,,,
417,내당1동 비나이다,비나이다,,,,,,,,
418,내당2동 설렘카페,설렘카페 두류점,,,,,,,,
419,본리동 레오나렌,레오나렌,,,,,,,,
420,본리동 메가MGC커피 죽전아이위시점,메가MGC커피 죽전아이위시점,,,,,,,,
421,감삼동 컴포즈커피 대구죽전아이위시점,컴포즈커피 대구죽전아이위시점,,,,,,,,
422,감삼동 청솔로9 장기점,청솔로9 장기점,,,,,,,,
423,장기동 공차 대구본리점,공차 대구본리점,,,,,,,,
424,송현2동 복cafe,복호두 대구감삼점,,,,,,,,
425,장기동 웨이비,웨이비,,,,,,,,
426,장기동 핸즈커피 감삼점,핸즈커피 감삼점,,,,,,,,
427,감삼동 텐퍼센트커피 대구죽전역점,텐퍼센트커피 대구죽전역점,,,,,,,,
428,감삼동 코셔,코셔,,,,,,,,
429,장기동 커피명가 아리아점,커피명가 아리아점,,,,,,,,
